ID_NO,INTERNAL_SCORE,ID_DECISION,CHANNEL,STORE,APPLICATION_TYPE,CONSULTATION_ID,FLAG_HIT,FICO_SCORE,DATE_OF_BIRTH,RESIDENCE,MARITAL_STATUS,SEX_FLAG,DEPENDENDENTS_NO,UNDERWRITERïS_NAME_CREDIT,ACCOUNT_TYPE_CREDIT,RESPONSIBILITY_TYPE_CREDIT,CREDIT_TYPE,Source,IMPUGNATED_REGISTRY,UNDERWRITERïS_NAME_CONSULTATION,ACCOUNT_TYPE_CONSULTATION,RESPONSIBILITY_TYPE_CONSULTATION,AMOUNT_APPLIED_FOR,Paid/Not Paid
01011DFC00011BB6,150,INMEDIATO,1,100,2.0171E+25,332315987,1,668,27/08/1994,5,,M,0,FINANCIERA,L¡nea de Cr‚dito,UNERFORSCHT,Revolvente,Bur¢ de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
1.01121E+14,167,INMEDIATO,1,100,2.0171E+25,334562094,1,678,02/01/1959,5,V,,0,BANCO AZTECA,Pr‚stamo Personal,UNERFORSCHT,Cr‚dito Prendario,Banco Azteca,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
010100640001E9A0,83,INVESTIGACIàN,1,100,2.01712E+25,344909952,0,573,25/06/1993,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
01010E1C00012151,98,INMEDIATO,1,100,2.01712E+25,346933799,1,559,23/01/1971,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
010100640000210F,122,INMEDIATO,1,100,2.01712E+25,348621423,1,684,22/09/1970,5,,,0,TIENDA COMERCIAL,Tarjeta de Cr‚dito,UNERFORSCHT,Revolvente,C¡culo de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
010100640001EBCC,119,INVESTIGACIàN,1,100,2.01801E+25,354461579,0,0,10/01/1995,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCOS,Tarjeta de Cr‚dito,Individual,0,0
010100640001EC11,152,INMEDIATO,1,100,2.01801E+25,355877526,1,765,24/12/1957,5,,,0,BANCOS,¨Pr‚stamo N¢mina?,UNERFORSCHT,Pagos Fijos,Bur¢ de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
1.01092E+14,77,INVESTIGACIàN,1,100,2.01801E+25,359055294,1,504,28/07/1982,5,,,0,COMUNICACIONES,L¡nea de Cr‚dito,Individual,Sin L¡mite Preestablecido,Bur¢ de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010100640001ECF0,165,INVESTIGACIàN,1,100,2.01801E+25,360002080,0,557,20/04/1969,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
0101006B000142CA,116,INVESTIGACIàN,1,107,2.01707E+25,307836952,0,643,14/12/1989,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
0101006B00010BB8,123,INMEDIATO,1,107,2.01708E+25,313910955,1,702,26/02/1986,5,,,0,BANCO AZTECA,Pr‚stamo Personal,UNERFORSCHT,Cr‚dito Prendario,Banco Azteca,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
0101075400003FCE,133,INMEDIATO,1,107,2.0171E+25,326410430,1,657,04/09/1990,5,,,0,BANCOS,Pr‚stamo Personal,UNERFORSCHT,Pagos Fijos,C¡culo de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
0101006B000146B0,106,INMEDIATO,1,107,2.0171E+25,328270683,0,643,12/08/1995,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
0101006B0001471B,107,INVESTIGACIàN,1,107,2.0171E+25,330950153,0,0,24/07/1996,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCOS,Pr‚stamo Personal,Individual,0,0
010116720000CED3,143,INMEDIATO,1,107,2.0171E+25,331665523,1,731,12/11/1969,5,D,F,0,TIENDA COMERCIAL,Aparatos/Muebles,UNERFORSCHT,Pagos Fijos,C¡culo de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
0101006B00014885,116,INVESTIGACIàN,1,107,2.01711E+25,338933487,1,638,13/04/1997,,,,0,SERVICIOS,Otros,Individual,Sin L¡mite Preestablecido,Bur¢ de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
0101006B000148DA,119,INVESTIGACIàN,1,107,2.01711E+25,341281697,0,563,17/07/1989,3,S,M,1,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116720001885C,79,INVESTIGACIàN,1,107,2.01801E+25,356413607,1,627,18/06/1985,5,,,0,BANCOS,L¡nea de Cr‚dito,Individual,Pagos Fijos,Bur¢ de Cr‚dito,NO,UNERFORSCHT,Tarjeta de Cr‚dito,Individual,0,0
0101006E0001E2FF,127,INMEDIATO,1,110,2.01708E+25,308441525,1,672,15/07/1983,5,,F,0,BANCOS,Pr‚stamo Personal,UNERFORSCHT,Pagos Fijos,C¡culo de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
0101006E0001E3D4,85,INVESTIGACIàN,1,110,2.01708E+25,311206036,0,686,21/11/1997,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCOS,Tarjeta de Cr‚dito,Individual,0,0
0101006E0001E427,100,INVESTIGACIàN,1,110,2.01708E+25,312905861,0,534,06/08/1995,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCOS,Aparatos/Muebles,Individual,"700,000",0
0101006E0001E44C,129,INVESTIGACIàN,1,110,2.01708E+25,313514196,0,581,21/10/1993,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
0101006E00002857,155,INMEDIATO,1,110,2.01708E+24,315456367,1,703,02/11/1971,,,,0,SERVICIOS,Otros,UNERFORSCHT,Sin L¡mite Preestablecido,Bur¢ de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
0101006E0001E4F3,117,INVESTIGACIàN,1,110,2.01708E+25,315620156,0,0,03/02/1960,5,C,M,0,TIENDA COMERCIAL,Cr‚dito al Consumo,Individual,Pagos Fijos,C¡culo de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
0101006E0001E52B,158,INMEDIATO,1,110,2.01708E+25,316703770,1,677,28/08/1974,5,,,1,TIENDA COMERCIAL,Aparatos/Muebles,UNERFORSCHT,Pagos Fijos,C¡culo de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
0101157800001A2D,131,INVESTIGACIàN,1,110,2.0171E+25,329627812,0,546,01/08/1993,5,D,M,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCOS,Tarjeta de Cr‚dito,Individual,0,0
